test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,total_bits_processed,result,expected,correct,trial_tree,trial_run,leaf_values
logn_loglogn,3,8,3,GF(32),xor,2.3362395763397217,9,231890,1,1,True,2,0,"[5, 7, 3, 3, 3, 2, 3, 1]"
baseline_plain,3,8,3,GF(32),xor,1.049041748046875e-05,16,26,6,6,True,3,0,"[5, 4, 7, 1, 1, 5, 3, 6]"
logn_loglogn,3,8,3,GF(32),xor,2.346226215362549,9,231890,6,6,True,3,0,"[5, 4, 7, 1, 1, 5, 3, 6]"
baseline_plain,3,8,3,GF(32),xor,9.775161743164062e-06,13,39,2,2,True,4,0,"[4, 3, 0, 3, 2, 5, 4, 5]"
logn_loglogn,3,8,3,GF(32),xor,2.3422605991363525,9,231890,2,2,True,4,0,"[4, 3, 0, 3, 2, 5, 4, 5]"
baseline_plain,3,8,3,GF(32),xor,2.9325485229492188e-05,11,22,5,5,True,5,0,"[2, 3, 0, 6, 0, 7, 3, 6]"
logn_loglogn,3,8,3,GF(32),xor,2.32076096534729,9,231890,5,5,True,5,0,"[2, 3, 0, 6, 0, 7, 3, 6]"
baseline_plain,3,8,3,GF(32),xor,1.0728836059570312e-05,14,37,7,7,True,6,0,"[1, 6, 6, 3, 2, 0, 2, 5]"
logn_loglogn,3,8,3,GF(32),xor,2.347240447998047,9,231890,7,7,True,6,0,"[1, 6, 6, 3, 2, 0, 2, 5]"
baseline_plain,3,8,3,GF(32),xor,8.58306884765625e-06,14,32,6,6,True,7,0,"[3, 0, 7, 5, 1, 4, 5, 7]"
logn_loglogn,3,8,3,GF(32),xor,2.3373632431030273,9,231890,6,6,True,7,0,"[3, 0, 7, 5, 1, 4, 5, 7]"
baseline_plain,3,8,3,GF(32),xor,1.0013580322265625e-05,10,21,5,5,True,8,0,"[0, 1, 7, 7, 0, 4, 2, 2]"
logn_loglogn,3,8,3,GF(32),xor,2.341606855392456,9,231890,5,5,True,8,0,"[0, 1, 7, 7, 0, 4, 2, 2]"
baseline_plain,3,8,3,GF(32),xor,9.775161743164062e-06,14,33,7,7,True,9,0,"[7, 5, 1, 1, 3, 5, 5, 6]"
logn_loglogn,3,8,3,GF(32),xor,2.3519387245178223,9,231890,7,7,True,9,0,"[7, 5, 1, 1, 3, 5, 5, 6]"
baseline_plain,4,16,3,GF(32),xor,1.3828277587890625e-05,14,64,4,4,True,0,0,"[6, 4, 4, 7, 2, 7, 1, 1, 1, 1, 7, 0, 4, 1, 6, 4]"
logn_loglogn,4,16,3,GF(32),xor,283.6245834827423,9,28754370,4,4,True,0,0,"[6, 4, 4, 7, 2, 7, 1, 1, 1, 1, 7, 0, 4, 1, 6, 4]"
baseline_plain,4,16,3,GF(32),xor,1.2636184692382812e-05,17,35,0,0,True,1,0,"[7, 7, 6, 3, 2, 0, 7, 7, 0, 6, 7, 5, 6, 1, 4, 0]"
logn_loglogn,4,16,3,GF(32),xor,285.68671011924744,9,28754370,0,0,True,1,0,"[7, 7, 6, 3, 2, 0, 7, 7, 0, 6, 7, 5, 6, 1, 4, 0]"
baseline_plain,4,16,3,GF(32),xor,1.3828277587890625e-05,14,84,5,5,True,2,0,"[4, 3, 3, 2, 4, 7, 4, 7, 2, 7, 7, 1, 7, 4, 1, 2]"
